Time,Input,Angle
2.690000057220459,0.010981512255966663,-2.764601469039917
2.700000047683716,0.010981512255966663,-2.6546456813812256
2.7100000381469727,0.010504627600312233,-2.5446901321411133
2.7200000286102295,0.010504627600312233,-2.434734344482422
2.7300000190734863,0.010504627600312233,-2.340486526489258
2.740000009536743,0.010504627600312233,-2.2305307388305664
2.75,0.010504627600312233,-2.120574951171875
2.759999990463257,0.010504627600312233,-2.0106194019317627
2.7699999809265137,0.010504627600312233,-1.916371464729309
2.7799999713897705,0.010504627600312233,-1.8064157962799072
2.7899999618530273,0.010504627600312233,-1.7121679782867432
2.799999952316284,0.010504627600312233,-1.6022123098373413
2.809999942779541,-0.016004204750061035,-1.5079644918441772
2.819999933242798,-0.016004204750061035,-1.4137166738510132
2.8299999237060547,-0.016004204750061035,-1.3194688558578491
2.8399999141693115,-0.016004204750061035,-1.2252211570739746
2.8499999046325684,-0.016004204750061035,-1.146681308746338
2.859999895095825,-0.016004204750061035,-1.0524334907531738
2.869999885559082,-0.016004204750061035,-0.9738937020301819
2.880000114440918,-0.016004204750061035,-0.8953539133071899
2.890000104904175,-0.016004204750061035,-0.8325220346450806
2.9000000953674316,-0.016004204750061035,-0.7539822459220886
2.9100000858306885,0.04823737218976021,-0.6911503672599792
2.9200000762939453,0.04823737218976021,-0.6126105785369873
2.930000066757202,0.04823737218976021,-0.5497786998748779
2.940000057220459,0.04823737218976021,-0.471238911151886
2.950000047683716,0.04823737218976021,-0.4084070324897766
2.9600000381469727,0.04823737218976021,-0.3298672139644623
2.9700000286102295,0.04823737218976021,-0.2670353651046753
2.9800000190734863,0.04823737218976021,-0.18849556148052216
2.990000009536743,0.04823737218976021,-0.10995574295520782
3.0,0.04823737218976021,-0.04712389037013054
3.009999990463257,0.045457493513822556,0.03141592815518379
3.0199999809265137,0.045457493513822556,0.10995574295520782
3.0299999713897705,0.045457493513822556,0.1727875918149948
3.0399999618530273,0.045457493513822556,0.25132742524147034
3.049999952316284,0.045457493513822556,0.3298672139644623
3.059999942779541,0.045457493513822556,0.39269909262657166
3.069999933242798,0.045457493513822556,0.471238911151886
3.0799999237060547,0.045457493513822556,0.5497786998748779
3.0899999141693115,0.045457493513822556,0.6126105785369873
3.0999999046325684,0.045457493513822556,0.6911503672599792
3.109999895095825,-0.07527283579111099,0.769690215587616
3.119999885559082,-0.07527283579111099,0.8325220346450806
3.130000114440918,-0.07527283579111099,0.8796459436416626
3.140000104904175,-0.07527283579111099,0.9267698526382446
3.1500000953674316,-0.07527283579111099,0.9738937020301819
3.1600000858306885,-0.07527283579111099,1.0053097009658813
3.1700000762939453,-0.07527283579111099,1.0367255210876465
3.180000066757202,-0.07527283579111099,1.0524334907531738
3.190000057220459,-0.07527283579111099,1.0524334907531738
3.200000047683716,-0.07527283579111099,1.0524334907531738
3.2100000381469727,-0.07210665941238403,1.0524334907531738
3.2200000286102295,-0.07210665941238403,1.0524334907531738
3.2300000190734863,-0.07210665941238403,1.0367255210876465
3.240000009536743,-0.07210665941238403,1.0053097009658813
3.25,-0.07210665941238403,0.9896016716957092
3.259999990463257,-0.07210665941238403,0.9581857323646545
3.2699999809265137,-0.07210665941238403,0.9267698526382446
3.2799999713897705,-0.07210665941238403,0.8796459436416626
3.2899999618530273,-0.07210665941238403,0.8482300043106079
3.299999952316284,-0.07210665941238403,0.8011061549186707
3.309999942779541,-0.07045024633407593,0.7539822459220886
3.319999933242798,-0.07045024633407593,0.7068583369255066
3.3299999237060547,-0.07045024633407593,0.644026517868042
3.3399999141693115,-0.07045024633407593,0.5811946392059326
3.3499999046325684,-0.07045024633407593,0.5340707302093506
3.359999895095825,-0.07045024633407593,0.471238911151886
3.369999885559082,-0.07045024633407593,0.39269909262657166
3.380000114440918,-0.07045024633407593,0.3298672139644623
3.390000104904175,-0.07045024633407593,0.25132742524147034
3.4000000953674316,-0.07045024633407593,0.18849556148052216
3.4100000858306885,-0.02645069919526577,0.10995574295520782
3.4200000762939453,-0.02645069919526577,0.03141592815518379
3.430000066757202,-0.02645069919526577,-0.04712389037013054
3.440000057220459,-0.02645069919526577,-0.10995574295520782
3.450000047683716,-0.02645069919526577,-0.18849556148052216
3.4600000381469727,-0.02645069919526577,-0.25132742524147034
3.4700000286102295,-0.02645069919526577,-0.3298672139644623
3.4800000190734863,-0.02645069919526577,-0.39269909262657166
3.490000009536743,-0.02645069919526577,-0.471238911151886
3.5,-0.02645069919526577,-0.5340707302093506
