Input,Angle,Speed
-0.10000000149011612,-46.448448181152344,-26.216848373413086
-0.10000000149011612,-46.69977569580078,-26.2192440032959
-0.10000000149011612,-46.9668083190918,-26.222043991088867
-0.10000000149011612,-47.23384475708008,-26.22304916381836
-0.10000000149011612,-47.485172271728516,-26.22681999206543
-0.10000000149011612,-47.7522087097168,-26.228668212890625
-0.10000000149011612,-48.01924514770508,-26.23103141784668
-0.10000000149011612,-48.270572662353516,-26.23385238647461
-0.10000000149011612,-48.53760528564453,-26.23708152770996
-0.10000000149011612,-48.80464172363281,-26.23853874206543
-0.10000000149011612,-49.05596923828125,-26.240673065185547
-0.10000000149011612,-49.32300567626953,-26.24343490600586
-0.10000000149011612,-49.59003829956055,-26.246782302856445
-0.10000000149011612,-49.841365814208984,-26.24854850769043
-0.10000000149011612,-50.108402252197266,-26.248685836791992
-0.10000000149011612,-50.37543869018555,-26.2496395111084
-0.10000000149011612,-50.64247512817383,-26.251359939575195
-0.10000000149011612,-50.893802642822266,-26.253801345825195
-0.10000000149011612,-51.16083526611328,-26.254798889160156
-0.10000000149011612,-51.42787170410156,-26.256805419921875
-0.10000000149011612,-51.694908142089844,-26.257648468017578
-0.10000000149011612,-51.94623565673828,-26.259414672851562
-0.10000000149011612,-52.2132682800293,-26.262062072753906
-0.10000000149011612,-52.48030471801758,-26.2634220123291
-0.10000000149011612,-52.74734115600586,-26.26345443725586
-0.10000000149011612,-52.9986686706543,-26.264232635498047
-0.10000000149011612,-53.26570510864258,-26.26571273803711
-0.10000000149011612,-53.532737731933594,-26.265722274780273
-0.10000000149011612,-53.799774169921875,-26.268844604492188
-0.10000000149011612,-54.05110168457031,-26.27042007446289
-0.10000000149011612,-54.318138122558594,-26.270418167114258
-0.10000000149011612,-54.56946563720703,-26.273426055908203
-0.10000000149011612,-54.83649826049805,-26.27479362487793
-0.10000000149011612,-55.10353469848633,-26.27699089050293
-0.10000000149011612,-55.37057113647461,-26.279998779296875
-0.10000000149011612,-55.62189865112305,-26.28130340576172
-0.10000000149011612,-55.88893508911133,-26.283382415771484
-0.10000000149011612,-56.155967712402344,-26.284090042114258
-0.10000000149011612,-56.40729522705078,-26.283395767211914
-0.10000000149011612,-56.67433166503906,-26.28590202331543
-0.10000000149011612,-56.941368103027344,-26.28696632385254
-0.10000000149011612,-57.20840072631836,-26.2890682220459
-0.10000000149011612,-57.47543716430664,-26.290063858032227
-0.10000000149011612,-57.72676467895508,-26.289934158325195
-0.10000000149011612,-57.99380111694336,-26.290782928466797
-0.10000000149011612,-58.26083755493164,-26.292585372924805
-0.10000000149011612,-58.527870178222656,-26.293195724487305
-0.10000000149011612,-58.779197692871094,-26.292591094970703
-0.10000000149011612,-59.046234130859375,-26.292871475219727
-0.10000000149011612,-59.313270568847656,-26.29401397705078
-0.10000000149011612,-59.58030319213867,-26.293865203857422
-0.10000000149011612,-59.83163070678711,-26.29453468322754
-0.10000000149011612,-60.09866714477539,-26.296005249023438
-0.10000000149011612,-60.36570358276367,-26.296131134033203
-0.10000000149011612,-60.61703109741211,-26.297029495239258
-0.10000000149011612,-60.884063720703125,-26.298688888549805
-0.10000000149011612,-61.151100158691406,-26.298974990844727
-0.10000000149011612,-61.402427673339844,-26.29787254333496
-0.10000000149011612,-61.669464111328125,-26.29999542236328
-0.10000000149011612,-61.936500549316406,-26.300716400146484
-0.10000000149011612,-62.20353317260742,-26.300029754638672
-0.10000000149011612,-62.45486068725586,-26.300418853759766
-0.10000000149011612,-62.72189712524414,-26.301881790161133
-0.10000000149011612,-62.98893356323242,-26.30191993713379
-0.10000000149011612,-63.25596618652344,-26.30302619934082
-0.10000000149011612,-63.52300262451172,-26.303070068359375
-0.10000000149011612,-63.774330139160156,-26.30204200744629
-0.10000000149011612,-64.04136657714844,-26.2999267578125
-0.10000000149011612,-64.30840301513672,-26.301332473754883
-0.10000000149011612,-64.575439453125,-26.301624298095703
-0.10000000149011612,-64.84247589111328,-26.300792694091797
-0.10000000149011612,-65.09380340576172,-26.29882049560547
-0.10000000149011612,-65.36083221435547,-26.300312042236328
-0.10000000149011612,-65.62786865234375,-26.300634384155273
-0.10000000149011612,-65.89490509033203,-26.299779891967773
-0.10000000149011612,-66.14623260498047,-26.297725677490234
-0.10000000149011612,-66.41326904296875,-26.299076080322266
-0.10000000149011612,-66.68030548095703,-26.299198150634766
-0.10000000149011612,-66.93163299560547,-26.29808235168457
-0.10000000149011612,-67.19866943359375,-26.29783821105957
-0.10000000149011612,-67.46570587158203,-26.29845428466797
-0.10000000149011612,-67.71703338623047,-26.29779624938965
-0.10000000149011612,-67.98406219482422,-26.30048370361328
-0.10000000149011612,-68.2510986328125,-26.30190086364746
-0.10000000149011612,-68.50242614746094,-26.302051544189453
-0.10000000149011612,-68.76946258544922,-26.300931930541992
-0.10000000149011612,-69.0364990234375,-26.3010311126709
-0.10000000149011612,-69.30353546142578,-26.302343368530273
-0.10000000149011612,-69.57057189941406,-26.302371978759766
-0.10000000149011612,-69.8218994140625,-26.30361557006836
-0.10000000149011612,-70.08893585205078,-26.303943634033203
-0.10000000149011612,-70.35596466064453,-26.30335235595703
-0.10000000149011612,-70.62300109863281,-26.3039608001709
-0.10000000149011612,-70.8900375366211,-26.303264617919922
-0.10000000149011612,-71.14136505126953,-26.30375099182129
-0.10000000149011612,-71.40840148925781,-26.303279876708984
-0.10000000149011612,-71.6754379272461,-26.301836013793945
-0.10000000149011612,-71.94247436523438,-26.301530838012695
-0.10000000149011612,-72.19380187988281,-26.302349090576172
-0.10000000149011612,-72.4608383178711,-26.302154541015625
-0.10000000149011612,-72.72786712646484,-26.303062438964844
-0.10000000149011612,-72.97919464111328,-26.30257225036621
-0.10000000149011612,-73.24623107910156,-26.303165435791016
-0.10000000149011612,-73.51326751708984,-26.304838180541992
-0.10000000149011612,-73.76459503173828,-26.305095672607422
-0.10000000149011612,-74.03163146972656,-26.306432723999023
-0.10000000149011612,-74.29866790771484,-26.306716918945312
-0.10000000149011612,-74.56570434570312,-26.30807876586914
